City,Date,Sunup,Sundown
toronto,2010-01-01,07:51,28:51
toronto,2010-01-02,07:51,28:52
toronto,2010-01-03,07:51,28:53
toronto,2010-01-04,07:51,28:54
toronto,2010-01-05,07:51,28:55
toronto,2010-01-06,07:50,28:56
toronto,2010-01-07,07:50,28:57
toronto,2010-01-08,07:50,28:58
toronto,2010-01-09,07:50,28:59
toronto,2010-01-10,07:49,29:00
toronto,2010-01-11,07:49,29:01
toronto,2010-01-12,07:49,29:02
toronto,2010-01-13,07:48,29:03
toronto,2010-01-14,07:48,29:05
toronto,2010-01-15,07:47,29:06
toronto,2010-01-16,07:47,29:07
toronto,2010-01-17,07:46,29:08
toronto,2010-01-18,07:46,29:10
toronto,2010-01-19,07:45,29:11
toronto,2010-01-20,07:44,29:12
toronto,2010-01-21,07:44,29:13
toronto,2010-01-22,07:43,29:15
toronto,2010-01-23,07:42,29:16
toronto,2010-01-24,07:41,29:17
toronto,2010-01-25,07:40,29:19
toronto,2010-01-26,07:40,29:20
toronto,2010-01-27,07:39,29:21
toronto,2010-01-28,07:38,29:23
toronto,2010-01-29,07:37,29:24
toronto,2010-01-30,07:36,29:25
toronto,2010-01-31,07:35,29:27
toronto,2010-02-01,07:34,29:28
toronto,2010-02-02,07:32,29:30
toronto,2010-02-03,07:31,29:31
toronto,2010-02-04,07:30,29:32
toronto,2010-02-05,07:29,29:34
toronto,2010-02-06,07:28,29:35
toronto,2010-02-07,07:26,29:36
toronto,2010-02-08,07:25,29:38
toronto,2010-02-09,07:24,29:39
toronto,2010-02-10,07:23,29:40
toronto,2010-02-11,07:21,29:42
toronto,2010-02-12,07:20,29:43
toronto,2010-02-13,07:18,29:45
toronto,2010-02-14,07:17,29:46
toronto,2010-02-15,07:16,29:47
toronto,2010-02-16,07:14,29:49
toronto,2010-02-17,07:13,29:50
toronto,2010-02-18,07:11,29:51
toronto,2010-02-19,07:10,29:53
toronto,2010-02-20,07:08,29:54
toronto,2010-02-21,07:07,29:55
toronto,2010-02-22,07:05,29:57
toronto,2010-02-23,07:03,29:58
toronto,2010-02-24,07:02,29:59
toronto,2010-02-25,07:00,30:01
toronto,2010-02-26,06:59,30:02
toronto,2010-02-27,06:57,30:03
toronto,2010-02-28,06:55,30:04
toronto,2010-03-01,06:54,30:06
toronto,2010-03-02,06:52,30:07
toronto,2010-03-03,06:50,30:08
toronto,2010-03-04,06:49,30:10
toronto,2010-03-05,06:47,30:11
toronto,2010-03-06,06:45,30:12
toronto,2010-03-07,06:43,30:13
toronto,2010-03-08,06:42,30:15
toronto,2010-03-09,06:40,30:16
toronto,2010-03-10,06:38,30:17
toronto,2010-03-11,06:36,30:18
toronto,2010-03-12,06:35,30:20
toronto,2010-03-13,06:33,30:21
toronto,2010-03-14,07:31,31:22
toronto,2010-03-15,07:29,31:23
toronto,2010-03-16,07:28,31:24
toronto,2010-03-17,07:26,31:26
toronto,2010-03-18,07:24,31:27
toronto,2010-03-19,07:22,31:28
toronto,2010-03-20,07:20,31:29
toronto,2010-03-21,07:19,31:31
toronto,2010-03-22,07:17,31:32
toronto,2010-03-23,07:15,31:33
toronto,2010-03-24,07:13,31:34
toronto,2010-03-25,07:11,31:35
toronto,2010-03-26,07:10,31:37
toronto,2010-03-27,07:08,31:38
toronto,2010-03-28,07:06,31:39
toronto,2010-03-29,07:04,31:40
toronto,2010-03-30,07:02,31:41
toronto,2010-03-31,07:01,31:43
toronto,2010-04-01,06:59,31:44
toronto,2010-04-02,06:57,31:45
toronto,2010-04-03,06:55,31:46
toronto,2010-04-04,06:53,31:47
toronto,2010-04-05,06:52,31:49
toronto,2010-04-06,06:50,31:50
toronto,2010-04-07,06:48,31:51
toronto,2010-04-08,06:46,31:52
toronto,2010-04-09,06:45,31:53
toronto,2010-04-10,06:43,31:54
toronto,2010-04-11,06:41,31:56
toronto,2010-04-12,06:39,31:57
toronto,2010-04-13,06:38,31:58
toronto,2010-04-14,06:36,31:59
toronto,2010-04-15,06:34,32:00
toronto,2010-04-16,06:33,32:02
toronto,2010-04-17,06:31,32:03
toronto,2010-04-18,06:29,32:04
toronto,2010-04-19,06:28,32:05
toronto,2010-04-20,06:26,32:06
toronto,2010-04-21,06:25,32:08
toronto,2010-04-22,06:23,32:09
toronto,2010-04-23,06:21,32:10
toronto,2010-04-24,06:20,32:11
toronto,2010-04-25,06:18,32:12
toronto,2010-04-26,06:17,32:14
toronto,2010-04-27,06:15,32:15
toronto,2010-04-28,06:14,32:16
toronto,2010-04-29,06:12,32:17
toronto,2010-04-30,06:11,32:18
toronto,2010-05-01,06:10,32:19
toronto,2010-05-02,06:08,32:21
toronto,2010-05-03,06:07,32:22
toronto,2010-05-04,06:05,32:23
toronto,2010-05-05,06:04,32:24
toronto,2010-05-06,06:03,32:25
toronto,2010-05-07,06:01,32:26
toronto,2010-05-08,06:00,32:28
toronto,2010-05-09,05:59,32:29
toronto,2010-05-10,05:58,32:30
toronto,2010-05-11,05:57,32:31
toronto,2010-05-12,05:55,32:32
toronto,2010-05-13,05:54,32:33
toronto,2010-05-14,05:53,32:34
toronto,2010-05-15,05:52,32:35
toronto,2010-05-16,05:51,32:36
toronto,2010-05-17,05:50,32:38
toronto,2010-05-18,05:49,32:39
toronto,2010-05-19,05:48,32:40
toronto,2010-05-20,05:47,32:41
toronto,2010-05-21,05:46,32:42
toronto,2010-05-22,05:45,32:43
toronto,2010-05-23,05:44,32:44
toronto,2010-05-24,05:44,32:45
toronto,2010-05-25,05:43,32:46
toronto,2010-05-26,05:42,32:47
toronto,2010-05-27,05:41,32:47
toronto,2010-05-28,05:41,32:48
toronto,2010-05-29,05:40,32:49
toronto,2010-05-30,05:40,32:50
toronto,2010-05-31,05:39,32:51
toronto,2010-06-01,05:38,32:52
toronto,2010-06-02,05:38,32:52
toronto,2010-06-03,05:38,32:53
toronto,2010-06-04,05:37,32:54
toronto,2010-06-05,05:37,32:55
toronto,2010-06-06,05:36,32:55
toronto,2010-06-07,05:36,32:56
toronto,2010-06-08,05:36,32:57
toronto,2010-06-09,05:36,32:57
toronto,2010-06-10,05:35,32:58
toronto,2010-06-11,05:35,32:58
toronto,2010-06-12,05:35,32:59
toronto,2010-06-13,05:35,32:59
toronto,2010-06-14,05:35,33:00
toronto,2010-06-15,05:35,33:00
toronto,2010-06-16,05:35,33:01
toronto,2010-06-17,05:35,33:01
toronto,2010-06-18,05:35,33:01
toronto,2010-06-19,05:35,33:02
toronto,2010-06-20,05:35,33:02
toronto,2010-06-21,05:36,33:02
toronto,2010-06-22,05:36,33:02
toronto,2010-06-23,05:36,33:02
toronto,2010-06-24,05:36,33:03
